title,other_title,director,actors,year,area,genre,rating,rating_people,quote,detail_url
何以为家,/ 迦百农  /  星仔打官司(港),娜丁·拉巴基 Nadine Labaki,扎因·拉费阿 Zain al-Rafeea / ...,2018,黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国,剧情,9.1,0,,https://movie.douban.com/subject/30170448/
闻香识女人,/ 女人香  /  女人的芳香,马丁·布莱斯 Martin Brest,阿尔·帕西诺 Al Pacino / 克里斯...,1992,美国,剧情,9.1,0,,https://movie.douban.com/subject/1298624/
大闹天宫,/ 大闹天宫 上下集  /  The Monkey King,万籁鸣 Laiming Wan,邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu...,1961(中国大陆),1964(中国大陆),1978(中国大陆),9.4,0,,https://movie.douban.com/subject/1418019/
黑客帝国,/ 22世纪杀人网络(港)  /  廿二世纪杀人网络(港),安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主...,,1999,美国,动作 科幻,9.1,0,,https://movie.douban.com/subject/1291843/
指环王1：护戒使者,/ 指环王1：魔戒再现  /  指环王I：护戒使者,彼得·杰克逊 Peter Jackson,伊利亚·伍德 Elijah Wood / 西恩...,2001,新西兰 美国 英国,剧情 动作 奇幻 冒险,9.1,0,,https://movie.douban.com/subject/1291571/
罗马假日,/ 金枝玉叶(港)  /  罗马假期(台),威廉·惠勒 William Wyler,奥黛丽·赫本 Audrey Hepburn / 格...,1953,美国,喜剧 剧情 爱情,9.1,0,,https://movie.douban.com/subject/1293839/
教父2,/ 教父续集(港)  /  教父II,弗朗西斯·福特·科波拉 Francis Ford Coppola,阿尔·帕西诺 A...,1974,美国,剧情 犯罪,9.3,0,,https://movie.douban.com/subject/1299131/
狮子王,/ 狮子王3D,Roger Allers / 罗伯·明可夫 Rob Minkoff,乔纳森·泰勒·托马...,1994,美国,动画 冒险 歌舞,9.1,0,,https://movie.douban.com/subject/1301753/
天堂电影院,/ 星光伴我心(港)  /  新天堂乐园(台),朱塞佩·托纳多雷 Giuseppe Tornatore,菲利普·努瓦雷 Philipp...,1988,意大利 法国,剧情 爱情,9.2,0,,https://movie.douban.com/subject/1291828/
饮食男女,/ Eat Drink Man Woman,李安 Ang Lee,郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,1994,中国台湾 美国,剧情 家庭,9.2,0,,https://movie.douban.com/subject/1291818/
辩护人,/ 逆权大状(港)  /  正义辩护人(台),杨宇硕 Woo-seok Yang,宋康昊 Kang-ho Song / 金英爱 Yeong-ae...,2013,韩国,剧情,9.2,0,,https://movie.douban.com/subject/21937445/
本杰明·巴顿奇事,/ 奇幻逆缘(港)  /  班杰明的奇幻旅程(台),大卫·芬奇 David Fincher,布拉德·皮特 Brad Pitt / 凯特·布...,2008,美国,剧情 爱情 奇幻,9.0,0,,https://movie.douban.com/subject/1485260/
搏击俱乐部,/ 搏击会(港)  /  斗阵俱乐部(台),大卫·芬奇 David Fincher,爱德华·诺顿 Edward Norton / 布拉...,1999,美国,剧情 动作 悬疑 惊悚,9.0,0,,https://movie.douban.com/subject/1292000/
美丽心灵,/ 有你终生美丽(港)  /  美丽境界(台),朗·霍华德 Ron Howard,罗素·克劳 Russell Crowe / 艾德·哈...,2001,美国,传记 剧情,9.1,0,,https://movie.douban.com/subject/1306029/
穿条纹睡衣的男孩,/ 穿条纹衣服的男孩  /  穿条纹衣的男孩,马克·赫尔曼 Mark Herman,阿萨·巴特菲尔德 Asa Butterfield ...,2008,英国 美国,剧情 战争,9.2,0,,https://movie.douban.com/subject/3008247/
情书,/ When I Close My Eyes  /  Letters of Love,岩井俊二 Shunji Iwai,中山美穗 Miho Nakayama / 丰川悦司 Ets...,1995,日本,剧情 爱情,8.9,0,,https://movie.douban.com/subject/1292220/
哈利·波特与死亡圣器(下),/ 哈利波特7：死神的圣物2(港 / 台),大卫·叶茨 David Yates,丹尼尔·雷德克里夫 Daniel Radcliffe...,2011,美国 英国,奇幻 冒险,9.0,0,,https://movie.douban.com/subject/3011235/
两杆大烟枪,/ 够姜四小强(港)  /  两根枪管(台),盖·里奇 Guy Ritchie,杰森·弗莱明 Jason Flemyng / 德克斯特...,1998,英国,剧情 喜剧 犯罪,9.1,0,,https://movie.douban.com/subject/1293350/
窃听风暴,/ 窃听者(港)  /  他人的生活,弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...,,2006,德国,剧情 悬疑,9.2,0,,https://movie.douban.com/subject/1900841/
音乐之声,/ 仙乐飘飘处处闻(港)  /  真善美(台),罗伯特·怀斯 Robert Wise,朱莉·安德鲁斯 Julie Andrews / 克...,1965,美国,剧情 传记 爱情 歌舞,9.1,0,,https://movie.douban.com/subject/1294408/
功夫,/ 功夫3D  /  Kung Fu Hustle,周星驰 Stephen Chow,周星驰 Stephen Chow / 元秋 Qiu Yuen / ...,2004,中国大陆 中国香港,动作 喜剧 犯罪 奇幻,8.9,0,,https://movie.douban.com/subject/1291543/
